map_name,map_desc,lat,long
Western | pizza | cost-1 | Kota Jakarta Timur,"<a href=""https://www.zomato.com/jakarta/pizza-hut-cibubur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Pizza Hut",-6.369813889,106.8944333
Western | pizza | cost-1 | Kota Jakarta Timur,"<a href=""https://www.zomato.com/jakarta/gian-pizza-cimanggis?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Gian Pizza",-6.369513889,106.8844444
Western | western | cost-1 | Kota Jakarta Timur,"<a href=""https://www.zomato.com/jakarta/tong-tji-tea-bar-cibubur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Tong Tji Tea Bar",-6.368052778,106.8905806
Western | steak | cost-1 | Kota Jakarta Timur,"<a href=""https://www.zomato.com/jakarta/waroeng-steak-shake-kalimalang?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Waroeng Steak & Shake",-6.249133333,106.9410861
Western | steak | cost-1 | Kota Jakarta Timur,"<a href=""https://www.zomato.com/jakarta/torry-coffee-kalimalang?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Torry Coffee",-6.248169444,106.9146056
Western | steak | cost-1 | Kota Jakarta Timur,"<a href=""https://www.zomato.com/jakarta/holycow-steakhouse-by-chef-afit-kalimalang?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Holycow! STEAKHOUSE by Chef Afit",-6.247979,106.931829
Western | pizza | cost-1 | Kota Jakarta Timur,"<a href=""https://www.zomato.com/jakarta/phd-kalimalang?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> PHD",-6.247691667,106.9164361
Western | american | cost-1 | Kota Jakarta Timur,"<a href=""https://www.zomato.com/jakarta/kfc-kalimalang?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> KFC",-6.246666667,106.9078222
Western | pizza | cost-1 | Kota Jakarta Timur,"<a href=""https://www.zomato.com/jakarta/pizza-hut-duren-sawit?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Pizza Hut",-6.243513889,106.9344639
Western | steak | cost-1 | Kota Jakarta Timur,"<a href=""https://www.zomato.com/jakarta/planet-hot-plate-pondok-bambu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Planet Hot Plate",-6.238594444,106.8941583
Western | steak | cost-1 | Kota Jakarta Timur,"<a href=""https://www.zomato.com/jakarta/wills-steak-pondok-bambu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Will's Steak",-6.238594444,106.8941583
Western | european | cost-1 | Kota Jakarta Timur,"<a href=""https://www.zomato.com/jakarta/dapoer-kite-pondok-bambu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Dapoer Kite",-6.2385,106.9036667
Western | pizza | cost-1 | Kota Jakarta Timur,"<a href=""https://www.zomato.com/jakarta/dapoer-kite-pondok-bambu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Dapoer Kite",-6.2385,106.9036667
Western | european | cost-1 | Kota Jakarta Timur,"<a href=""https://www.zomato.com/jakarta/dapoer-kite-duren-sawit?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Dapoer Kite",-6.2384,106.9342111
Western | pizza | cost-1 | Kota Jakarta Timur,"<a href=""https://www.zomato.com/jakarta/dapoer-kite-duren-sawit?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Dapoer Kite",-6.2384,106.9342111
Western | western | cost-1 | Kota Jakarta Timur,"<a href=""https://www.zomato.com/jakarta/dapoer-kite-duren-sawit?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Dapoer Kite",-6.2384,106.9342111
Western | european | cost-1 | Kota Jakarta Timur,"<a href=""https://www.zomato.com/jakarta/dapoer-kite-klender?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Dapoer Kite",-6.2255,106.9146667
Western | pizza | cost-1 | Kota Jakarta Timur,"<a href=""https://www.zomato.com/jakarta/dapoer-kite-klender?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Dapoer Kite",-6.2255,106.9146667
Western | western | cost-1 | Kota Jakarta Timur,"<a href=""https://www.zomato.com/jakarta/dapoer-kite-klender?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Dapoer Kite",-6.2255,106.9146667
Western | pizza | cost-1 | Kota Jakarta Timur,"<a href=""https://www.zomato.com/jakarta/phd-klender?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> PHD",-6.220841667,106.9173667
Western | western | cost-1 | Kota Jakarta Timur,"<a href=""https://www.zomato.com/jakarta/milk-me-klender?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Milk Me",-6.220752778,106.9179611
Western | steak | cost-1 | Kota Jakarta Timur,"<a href=""https://www.zomato.com/jakarta/obonk-steak-ribs-klender?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Obonk Steak & Ribs",-6.219566667,106.9233694
Western | western | cost-1 | Kota Jakarta Timur,"<a href=""https://www.zomato.com/jakarta/obonk-steak-ribs-klender?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Obonk Steak & Ribs",-6.219566667,106.9233694
Western | european | cost-1 | Kota Jakarta Timur,"<a href=""https://www.zomato.com/jakarta/dapoer-kite-1-klender?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Dapoer Kite",-6.218191667,106.9311
Western | pizza | cost-1 | Kota Jakarta Timur,"<a href=""https://www.zomato.com/jakarta/dapoer-kite-1-klender?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Dapoer Kite",-6.218191667,106.9311
Western | western | cost-1 | Kota Jakarta Timur,"<a href=""https://www.zomato.com/jakarta/dapoer-kite-1-klender?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Dapoer Kite",-6.218191667,106.9311
Western | european | cost-3 | Kota Jakarta Pusat,"<a href=""https://www.zomato.com/jakarta/tavern-hotel-aryaduta-jakarta-senen?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Tavern - Hotel Aryaduta Jakarta",-6.181586,106.835041
Western | steak | cost-3 | Kota Jakarta Pusat,"<a href=""https://www.zomato.com/jakarta/tavern-hotel-aryaduta-jakarta-senen?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Tavern - Hotel Aryaduta Jakarta",-6.181586,106.835041
Western | american | cost-1 | Kota Jakarta Pusat,"<a href=""https://www.zomato.com/jakarta/ke-ku-n-tanah-abang?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Ke' Ku:n",-6.179917,106.820765
Western | american | cost-4 | Kota Jakarta Pusat,"<a href=""https://www.zomato.com/jakarta/auroz-tanah-abang?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> AUROZ",-6.179542,106.820269
Western | european | cost-4 | Kota Jakarta Pusat,"<a href=""https://www.zomato.com/jakarta/auroz-tanah-abang?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> AUROZ",-6.179542,106.820269
Western | american | cost-1 | Kota Jakarta Pusat,"<a href=""https://www.zomato.com/jakarta/kfc-gambir?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> KFC",-6.177086111,106.8307944
Western | american | cost-1 | Kota Jakarta Pusat,"<a href=""https://www.zomato.com/jakarta/kfc-1-tanah-abang?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> KFC",-6.175666667,106.812
Western | pizza | cost-1 | Kota Jakarta Pusat,"<a href=""https://www.zomato.com/jakarta/pizza-hut-gambir?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Pizza Hut",-6.167630556,106.8281167
Western | european | cost-2 | Kota Jakarta Pusat,"<a href=""https://www.zomato.com/jakarta/buzz-alila-hotel-pecenongan?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Buzz - Alila Hotel",-6.165766,106.826366
Western | western | cost-2 | Kota Jakarta Pusat,"<a href=""https://www.zomato.com/jakarta/buzz-alila-hotel-pecenongan?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Buzz - Alila Hotel",-6.165766,106.826366
Western | pizza | cost-1 | Kota Jakarta Pusat,"<a href=""https://www.zomato.com/jakarta/bro-sis-pizza-pasta-gelato-gajah-mada?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Brosis Pizza Pasta & Gelato",-6.165199,106.819646
Western | pizza | cost-1 | Kota Jakarta Pusat,"<a href=""https://www.zomato.com/jakarta/pizza-hut-gajah-mada?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Pizza Hut",-6.160741667,106.8187167
Western | american | cost-1 | Kota Jakarta Pusat,"<a href=""https://www.zomato.com/jakarta/harmoni-square-grand-mercure-hayam-wuruk?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Harmoni Square - Grand Mercure",-6.160436,106.819641
Western | european | cost-2 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/atiz-wine-dine-b-fashion-hotel-tanjung-duren?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Atiz Wine & Dine - B Fashion Hotel",-6.181806,106.791963
Western | western | cost-2 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/atiz-wine-dine-b-fashion-hotel-tanjung-duren?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Atiz Wine & Dine - B Fashion Hotel",-6.181806,106.791963
Western | american | cost-2 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/collage-hotel-pullman-jakarta-central-park-tanjung-duren?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Collage - Hotel Pullman Jakarta Central Park",-6.180376,106.793834
