id,name,cuisine,locality,lat,long,avg_rating,currency,cost_for_two,url
7419151,Q Smokehouse,steak,Setiabudi,-6.214666667,106.8303333,3.7,IDR,300000,https://www.zomato.com/jakarta/q-smokehouse-setiabudi?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7419717,Abuba Steak,steak,Serpong Utara,-6.237691667,106.6314083,3.9,IDR,300000,https://www.zomato.com/jakarta/abuba-steak-serpong-utara?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7420132,Abuba Steak,steak,Bogor Utara,-6.581341,106.807767,3.6,IDR,300000,https://www.zomato.com/jakarta/abuba-steak-bogor-utara?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7413922,Abuba Steak,steak,Pondok Aren,-6.271455556,106.7117389,3.3,IDR,300000,https://www.zomato.com/jakarta/abuba-steak-pondok-aren?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7420356,Poka Ribs,steak,Serpong Utara,-6.239651,106.628655,3.7,IDR,300000,https://www.zomato.com/jakarta/poka-ribs-serpong-utara?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7409100,Abuba Steak,steak,Green Ville,-6.169383333,106.7718361,3.5,IDR,300000,https://www.zomato.com/jakarta/abuba-steak-green-ville?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7410836,VIN+ Wine & Beyond,steak,Pondok Indah,-6.2675,106.784,3.6,IDR,300000,https://www.zomato.com/jakarta/vin-pondok-indah?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7421298,Poka Ribs,steak,Karawaci,-6.228008333,106.6091083,3.4,IDR,300000,https://www.zomato.com/jakarta/poka-ribs-karawaci?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
18266306,Pisang Goreng Asli Banyumas,streetfood,Cipinang,-6.2194058,106.8868785,0,IDR,15000,https://www.zomato.com/jakarta/pisang-goreng-asli-banyumas-cipinang?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7403331,Pukis dan Bikang,streetfood,Kalibata,-6.2565,106.8528333,0,IDR,15000,https://www.zomato.com/jakarta/pukis-bikang-kalibata?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7403669,Gorengan Siomay,streetfood,Thamrin,-6.184341667,106.823875,0,IDR,15000,https://www.zomato.com/jakarta/gorengan-siomay-thamrin?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7417759,Gehu Pedas Seuhah,streetfood,Bogor Timur,-6.607214,106.8098,0,IDR,15000,https://www.zomato.com/jakarta/gehu-pedas-seuhah-bogor-timur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7406803,Pukis dan Bikang,streetfood,Puri Indah,-6.1855,106.7388333,0,IDR,15000,https://www.zomato.com/jakarta/pukis-dan-bikang-puri-indah?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7412877,Pukis dan Bikang,streetfood,Serpong,-6.297777778,106.6666417,2.7,IDR,15000,https://www.zomato.com/jakarta/pukis-bikang-serpong?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
