id,name,cuisine,type,locality,lat,long,avg_rating,currency,cost_for_two,url
7418283,Kumalawangi - Royal Amaroossa Hotel,steak,western,Bogor Tengah,-6.601666667,106.8048333,0,IDR,550000,https://www.zomato.com/jakarta/kumalawangi-royal-amaroossa-hotel-bogor-tengah?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7417920,D' Hot Plate,steak,western,Bogor Tengah,-6.6015,106.8071667,0,IDR,60000,https://www.zomato.com/jakarta/d-hot-plate-bogor-tengah?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7417723,Pawon,steak,western,Bogor Tengah,-6.595833333,106.8048333,0,IDR,80000,https://www.zomato.com/jakarta/pawon-bogor-tengah?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7418370,Rafflesia Lounge - Hotel Salak The Heritage,steak,western,Bogor Tengah,-6.594666667,106.7941667,0,IDR,450000,https://www.zomato.com/jakarta/rafflesia-lounge-hotel-salak-the-heritage-bogor-tengah?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7418626,Obonk Steak & Ribs,steak,western,Bogor Utara,-6.591,106.8158333,0,IDR,80000,https://www.zomato.com/jakarta/obonk-steak-ribs-bogor-utara?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7420132,Abuba Steak,steak,western,Bogor Utara,-6.581341,106.807767,3.6,IDR,300000,https://www.zomato.com/jakarta/abuba-steak-bogor-utara?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7418362,AA Resto,steak,western,Tanah Sareal,-6.573833333,106.788,3,IDR,100000,https://www.zomato.com/jakarta/aa-resto-tanah-sareal?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7418311,Waroeng Steak & Shake,steak,western,Tanah Sareal,-6.570491667,106.8043222,2.1,IDR,80000,https://www.zomato.com/jakarta/waroeng-steak-shake-tanah-sareal?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
18238976,Carnivor Barbeque,steak,western,Bogor Tengah,-6.568638,106.845933,0,IDR,350000,https://www.zomato.com/jakarta/carnivor-barbeque-bogor-tengah?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7425666,Obonk Steak & Ribs,steak,western,Bogor Utara,-6.566357,106.844342,0,IDR,80000,https://www.zomato.com/jakarta/obonk-steak-ribs-1-bogor-utara?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7415928,Crunchy Fried Chicken Steak,steak,western,Sawangan,-6.406666667,106.7766667,0,IDR,70000,https://www.zomato.com/jakarta/crunchy-fried-chicken-steak-sawangan?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7415124,Burg'O Restoran,steak,western,Pancoran Mas,-6.399761111,106.8231667,3.7,IDR,100000,https://www.zomato.com/jakarta/burgo-restoran-pancoran-mas?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7415132,Steak Moen - Moen,steak,western,Pancoran Mas,-6.395166667,106.8241667,2.6,IDR,50000,https://www.zomato.com/jakarta/steak-moen-moen-pancoran-mas?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7414934,Ria Gandaria's,steak,western,Pancoran Mas,-6.395166667,106.8241667,0,IDR,60000,https://www.zomato.com/jakarta/ria-gandarias-pancoran-mas?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7415131,Bento Steak.Co,steak,western,Pancoran Mas,-6.395166667,106.8241667,0,IDR,100000,https://www.zomato.com/jakarta/bento-steak-co-pancoran-mas?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7414819,Bento Steak.Co,steak,western,Pancoran Mas,-6.395094444,106.7917639,0,IDR,100000,https://www.zomato.com/jakarta/bento-steak-co-1-pancoran-mas?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7414903,Reborn Steak,steak,western,Pancoran Mas,-6.394666667,106.8256667,2.6,IDR,70000,https://www.zomato.com/jakarta/reborn-steak-pancoran-mas?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7414841,Crunchy Fried Chicken Steak,steak,western,Pancoran Mas,-6.394036111,106.7714694,0,IDR,70000,https://www.zomato.com/jakarta/crunchy-fried-chicken-steak-pancoran-mas?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7421780,Holycow! STEAKHOUSE by Chef Afit,steak,western,Jatisampurna,-6.3819,106.9250194,4.5,IDR,380000,https://www.zomato.com/jakarta/holycow-steakhouse-by-chef-afit-jatisampurna?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7415428,Obonk Steak & Ribs,steak,western,Beji,-6.379591667,106.8307806,2.7,IDR,80000,https://www.zomato.com/jakarta/obonk-steak-ribs-beji?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7415405,Waroeng Steak & Shake,steak,western,Beji,-6.379405556,106.8309028,2.1,IDR,80000,https://www.zomato.com/jakarta/waroeng-steak-shake-beji?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7420768,Abuba Steak,steak,western,Cibubur,-6.375663889,106.9065167,3.6,IDR,300000,https://www.zomato.com/jakarta/abuba-steak-cibubur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7414969,Bento Steak.Co,steak,western,Sukmajaya,-6.375166667,106.8538333,0,IDR,100000,https://www.zomato.com/jakarta/bento-steak-co-sukmajaya?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7415041,Cha - Cha Hot Plate,steak,western,Beji,-6.3738,106.8293611,0,IDR,55000,https://www.zomato.com/jakarta/cha-cha-beji?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
18171975,Steak Moen - Moen,steak,western,Beji,-6.372333333,106.8321667,0,IDR,50000,https://www.zomato.com/jakarta/steak-moen-moen-1-beji?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7424696,Bento Steak.Co,steak,western,Beji,-6.372333333,106.8318333,0,IDR,100000,https://www.zomato.com/jakarta/bento-steak-co-beji?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7415010,Well Done Resto and Coffee House,steak,western,Beji,-6.371269444,106.8326028,0,IDR,80000,https://www.zomato.com/jakarta/well-done-resto-and-coffee-house-beji?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7425527,Dino Steak & Pasta,steak,western,Beji,-6.366577778,106.8342361,2,IDR,90000,https://www.zomato.com/jakarta/dino-steak-pasta-beji?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
18157503,Lover's Pizza,steak,western,Pamulang,-6.345580556,106.7545389,0,IDR,100000,https://www.zomato.com/jakarta/lovers-pizza-pamulang?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7412898,Cimilku,steak,western,Pamulang,-6.345491667,106.7357778,2.4,IDR,100000,https://www.zomato.com/jakarta/cimilku-pamulang?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7412374,Reborn Steak,steak,western,Pamulang,-6.342825,106.7254944,2.8,IDR,70000,https://www.zomato.com/jakarta/reborn-steak-pamulang?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7412354,Warmat Steak,steak,western,Pamulang,-6.342713889,106.7254111,0,IDR,100000,https://www.zomato.com/jakarta/warmat-steak-pamulang?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7415291,Lucky Resto,steak,western,Sukmajaya,-6.335925,106.7951139,0,IDR,100000,https://www.zomato.com/jakarta/lucky-resto-sukmajaya?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7421650,ABI Steak,steak,western,Jagakarsa,-6.332066667,106.8078528,3.2,IDR,120000,https://www.zomato.com/jakarta/abi-steak-jagakarsa?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
18175559,D'Steak,steak,western,Cinere,-6.329756,106.78405,0,IDR,80000,https://www.zomato.com/jakarta/dsteak-cinere?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7415722,Reborn Steak,steak,western,Cinere,-6.324333333,106.784,0,IDR,70000,https://www.zomato.com/jakarta/reborn-steak-cinere?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7415836,Victory Steak,steak,western,Cinere,-6.323833333,106.7838333,0,IDR,80000,https://www.zomato.com/jakarta/victory-steak-cinere?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7417569,TS Surya Steak & Shake,steak,western,Mustikajaya,-6.319666667,107.0146667,0,IDR,70000,https://www.zomato.com/jakarta/ts-surya-steak-shake-mustikajaya?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
